field,Gini,M20,C,A,size,n,q,z.mode,mass
COSMOS,0.415268613201207,-1.76196178265851,3.26388985671268,0.16200535515748,1.13540963490907,2.5498,0.8727,1.75,10.6776
COSMOS,0.455743122453919,-1.37097746549025,2.50824485965797,0.331706961556188,0.733099182807287,0.9733,0.3948,1.73,10.4187
COSMOS,0.396913484249132,-1.03720158617929,2.19720913702129,0.163108786507138,1.12170197383587,0.537,0.8521,1.82,9.90705
COSMOS,0.492297183564049,-1.438770980997,2.99752771485545,0.111245868195915,0.629671973515202,0.8541,0.5246,1.75,10.1633
COSMOS,0.430158608554652,-1.25060429266119,3.1697092779944,0.188136250801875,0.843571918423369,0.504,0.2639,1.79,10.2767
COSMOS,0.397677213538507,-1.7077265517656,3.16954082771895,0.137026152470342,0.851010371878839,2.3244,0.7702,2.04,10.7072
COSMOS,0.502357085595669,-1.73297379614317,3.07629154260781,0.117184798714447,0.786634870026297,1.2824,0.4402,1.51,10.3381
COSMOS,0.48404494312958,-1.46697000908075,2.76423790405839,0.138503526567124,0.694572144201128,0.6561,0.4999,2.04,10.1031
COSMOS,0.529736254222891,-1.85505759445631,3.34583387099311,0.0718463208080565,0.675332810489861,2.2105,0.8104,1.82,10.1396
COSMOS,0.18661556691368,-0.641996089780021,2.70468964072807,0.0290306977368251,0.329942390539404,0.2,0.2355,1.92,9.75502
COSMOS,0.424403064015708,-1.58684212562983,2.95592393107301,0.102935700083346,0.424156513177717,0.7359,0.4205,1.59,10.7523
COSMOS,0.435660341807387,-1.48787571408552,2.74560999543787,0.238973505939383,0.626021670447184,0.7994,0.6325,1.55,9.98374
COSMOS,0.690447992204505,-1.69919359681869,3.70918098797339,0.120908042530677,0.424156513177717,0.2,0.8524,1.52,11.2403
COSMOS,0.465860704496241,-1.69341144424678,3.14812744396964,0.0849663981928453,0.488211473415386,1.3644,0.7972,1.65,10.8533
COSMOS,0.492499914970406,-1.8972983969888,3.36228751944621,0.121283698770022,1.06725821464165,1.6174,0.6495,1.94,10.6692
